"Username","ATB","contact","EMS","IMS"
"542460e3fdf99b691e6ac927",1.1,10,1.6,5
"55b765befdf99b0416ce5382",1.1,40,2,5
"573156e4070de6000e43457d",1.3,NA,1.8,4.4
"57d2edf35e9bc90001f76b06",1.3,1,1.6,4.8
"5873b2d22bd3c90001859b76",1.9,1,2.2,4.4
"5977986837d15f00016f1d08",2.4,1,3,4
"59ed327377860e00015135e2",1.6,70,3.4,4
"5a4ff22bacc75b000179b0e9",1,25,1,5
"5a54f0daac562400015388da",1.2,25,5,5
"5a90460d1eda41000135f918",1.2,0,4.2,5
"5ad93bf180491c000142d5db",1.6,0,4.6,4.8
"5aea88ec1aff900001cc0e55",1,10,3.2,5
"5aeae9fd26b66800016982d6",1.3,8,2.4,4.4
"5af2f9d5dd84460001c1dd2a",3.3,10,1,1.2
"5b9a367afe0ef200013fe072",2.2,7,1.8,5
"5be883a1ee424500017fbb77",1.2,0,2.4,5
"5c37462f41a65c00010bb1a1",2.1,NA,3,4
"5c4e5f2ae5f00f0001542748",1.2,2,1.6,5
"5c952f252e2e320019b1aa7b",1.6,8,3.4,5
"5cdd2e2a8b39ba00191a227e",1.4,8,2.8,5
"5d30559f95d88f0019378e9c",2.8,30,4,2
"5de7d7a6603b1b73f3944f8e",2,15,3.8,4.4
"5dfd479669a117a38618c665",1.8,7,1,3.2
"5e3964db34f9ab172aac9283",1.7,37.5,1.4,4.6
"5e4338aa9293781d471ed10d",1.3,7,4.2,5
"5e48226a5c30832c06c7703d",1.6,NA,1.8,4.8
"5e9375259c9687000b26ec11",2.8,2,3.6,3.2
"5e9a5763b804c70e5b5bf37b",1.5,NA,3,4.2
"5ec957b88b62d208f6997476",4.4,0,1.8,1.8
"5edf802fff5acd23df58da42",1.2,NA,2.8,4
"5ef7204033605901ce86c0b0",1.1,10,1,5
"5efa33c4e9f4160ffd817db9",1.1,1,4,5
"5f0f2cea74ad8a000bb071f7",1.2,NA,3.2,5
"5f2047f472c1fd2eaf643c64",1.6,21,3.8,4.2
"5f39433e518ae24a53d11c92",1.4,5,3.4,4.2
"5f486e6825bc3c1f9ae198b3",1.7,2,3.2,4.6
"5f8cff5b20cbd14a4e792ee8",1.5,7,3,5
"5fa07c635b16f50d21483d5e",1,1,1.8,5
"5fa3e063d7b2bf02aedabe43",1.4,20,1.8,5
"5fea486eeed16da38175ba44",2,30,2.4,4.2
"5fef3d23f0b5edd6fabe8e64",1.2,10,2.2,5
"60074d72cd735e2251a31e76",1.1,2,3.4,4.8
"60e101de786c9b2a375e73bb",1.4,39,1,5
"60e5ffe203dd6eafa22c5d15",1.1,30,2.8,5
"60fd2b6a7b0c96a6a3cf8d81",1.2,NA,2.6,4.4
"60fd641351c1489395a91649",1.5,NA,3,5
"610008383c0a128712403745",1.2,40,2.4,5
"610700380d4f5c44318cdea0",1.1,5,2.4,4.6
"610c4ee070fd5e59a42868d5",1,15,2.8,5
"6158d21467d1c77397989b0e",2,10,3.2,3.8
"616faf3ab8c53e7a73a5dea5",1.4,NA,4.2,5
"6173240b98f6e6f48d97880a",2.3,40,2.8,4
"629dd4199343d7710fcdb39c",1.5,1,3.2,4.6
"62b836d1a99c01a1f84f68bb",1,4,1.8,5
"636675b4dd6bb79382d46c2b",1.4,30,3,4.6
"637545d6428d85daeedc3df5",2.4,40,2.6,3.2
"63d196c147d1f420690e5b87",4.2,0,2.6,2.4
"63ea4a7fa7d709c8e7887a93",1,1,1.4,5
"63ea8ec521931832f4b6b7cb",1.3,0,2.4,5
"63ed35a73e8bacd8d4661f91",1.9,50,2.2,5
"649609322cee8b311a1c3f0f",1.7,1,1.8,4.2
"653293a1c43c09cb264298c3",1.4,9,2.2,4.8
"6537d382e6ef905f0b52d045",1.2,0,1.8,5
"653e666cc034dbb89a5b83ce",1.4,21,1.8,3.2
"65464fec47eeb23dde2b5c56",1,5,3.4,5
"654e3b2a1d5b25b892be6421",2.2,10,3.4,4.6
"656e02962907eb6f11faa71f",1.1,16,1,4.6
"6599601acbd86485dbecb6c9",1.4,5,1.6,5
"659d52af923c07a8e1aac79a",1.4,30,3.8,4.6
"65a3eae145bd7a121b03e953",1,40,2.2,5
"65b6601cec4e2d7a82f0aa5b",1,0,1,5
"65d7836037dedd85eceb642f",1.5,12,1.8,5
"65df4369886094bb19030a5e",1.7,10,2,2.2
"65f2195fc9a3f1ad259d4a79",2.3,0,2.4,5
"6605b8805eb4edcb02fe7d59",1.5,8,3,3.8
"661e73f9e86cfe3c5c386fd1",1.3,NA,2.4,3.2
"6620009020d5eaa24a7b09d8",1.5,NA,3.4,3.6
"66201d0846aea327b3a3facb",1.8,0,4.2,4.4
